% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 19:30
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1.025                                             0.10739176776161996                               0.10739176776161997                               1.0000000000000013
1.025                                             0.1130241566207726                                0.11302415662077261                               1.0000000000000009
1.025                                             0.11302415679347343                               0.11302415679347343                               0.9999999999999998
1.025                                             0.12549185731503232                               0.12549185731503232                               1
1.025                                             0.12549191694969053                               0.12549191694969053                               0.9999999999999994
1.025                                             0.12751139449599114                               0.12751139449599114                               0.9999999999999992
1.025                                             0.14017371969498166                               0.14017371969498166                               0.9999999999999984
1.025                                             0.14017372009182993                               0.14017372009182993                               1.0000000000000024
1.025                                             0.15095766249277423                               0.15095766249277423                               1.000000000000001
1.025                                             0.15095787264192928                               0.15095787264192928                               0.9999999999999997
1.025                                             0.15704518765150993                               0.15704518765150996                               0.9999999999999981
1.025                                             0.15704518863254202                               0.15704518863254202                               0.9999999999999991
1.025                                             0.1760788948014823                                0.1760788948014823                                0.999999999999996
1.025                                             0.17607889548401606                               0.17607889548401606                               1.0000000000000009
1.025                                             0.1886250704090756                                0.1886250704090756                                0.999999999999999
1.025                                             0.1956191804134603                                0.1956191804134603                                1.0000000000000009
1.025                                             0.19724434908443372                               0.19724434908443375                               0.9999999999999987
1.025                                             0.19724435067178225                               0.19724435067178228                               0.9999999999999998
1.05                                              0.08448393202690603                               0.08448393202690603                               0.9999999999999991
1.05                                              0.08565053469440011                               0.08565053469440011                               0.999999999999999
1.05                                              0.08565053525933425                               0.08565053525933425                               0.9999999999999998
1.05                                              0.08909310760954806                               0.08909310760954806                               0.9999999999999987
1.05                                              0.0890991034961895                                0.0890991034961895                                0.9999999999999999
1.05                                              0.09102023170429852                               0.09102023170429852                               0.9999999999999988
1.05                                              0.0948095037759944                                0.0948095037759944                                1.0000000000000007
1.05                                              0.09480950417546079                               0.09480950417546079                               1.0000000000000007
1.05                                              0.09722581382837198                               0.09722581382837198                               1.0000000000000009
1.05                                              0.09722587164609318                               0.09722587164609318                               1.0000000000000007
1.05                                              0.10279149410802871                               0.10279149410802871                               0.9999999999999981
1.05                                              0.10279179040932997                               0.10279179040932997                               1.000000000000003
1.05                                              0.10890866204809033                               0.10890866204809034                               0.9999999999999998
1.05                                              0.11302416138747165                               0.11302416138747165                               1.0000000000000018
1.05                                              0.11302416157168314                               0.11302416157168314                               0.9999999999999997
1.05                                              0.12549188378428072                               0.12549188378428072                               0.9999999999999981
1.05                                              0.12549191791792963                               0.12549191791792963                               1
1.05                                              0.12894492577723482                               0.12894492577723482                               0.9999999999999993
1.05                                              0.14017372009111467                               0.14017372009111467                               1.0000000000000016
1.05                                              0.14017372042707738                               0.14017372042707738                               0.9999999999999989
1.05                                              0.15218663696124599                               0.15218663696124599                               1.0000000000000016
1.05                                              0.15218671127890673                               0.15218671127890673                               0.9999999999999998
1.05                                              0.15704518779716475                               0.15704518779716475                               0.9999999999999971
1.05                                              0.15704518891015087                               0.15704518891015087                               1.000000000000002
1.05                                              0.1760788951020608                                0.17607889510206082                               1.0000000000000018
1.05                                              0.17607889561590737                               0.17607889561590737                               0.9999999999999992
1.05                                              0.1896251553325759                                0.1896251553325759                                0.9999999999999996
1.05                                              0.19655763416565705                               0.19655763416565708                               0.9999999999999986
1.05                                              0.1972443494163438                                0.19724434941634383                               1
1.05                                              0.197244350831542                                 0.19724435083154201                               1.0000000000000007
1.075                                             0.0844934696135133                                0.0844934696135133                                1.0000000000000007
1.075                                             0.08565346285495029                               0.08565346285495029                               0.9999999999999989
1.075                                             0.08565346869369143                               0.08565346869369145                               0.9999999999999988
1.075                                             0.08909390646113065                               0.08909390646113066                               1.000000000000001
1.075                                             0.08909931274690241                               0.08909931274690241                               0.9999999999999997
1.075                                             0.09272391609322676                               0.09272391609322676                               0.9999999999999998
1.075                                             0.09481046639669026                               0.09481046639669027                               0.9999999999999989
1.075                                             0.09481046662777566                               0.09481046662777567                               0.9999999999999972
1.075                                             0.0988682481504738                                0.0988682481504738                                0.9999999999999992
1.075                                             0.09887107569370598                               0.098871075693706                                 1.0000000000000002
1.075                                             0.10279150870090159                               0.1027915087009016                                1.0000000000000013
1.075                                             0.10279183353692235                               0.10279183353692235                               0.9999999999999991
1.075                                             0.11043323011516491                               0.11043323011516491                               1.0000000000000002
1.075                                             0.11302416645650949                               0.11302416645650949                               1.000000000000001
1.075                                             0.1130241666488182                                0.11302416664881822                               1.0000000000000002
1.075                                             0.1254918950193119                                0.1254918950193119                                1.000000000000001
1.075                                             0.12549191888217381                               0.12549191888217381                               1.0000000000000013
1.075                                             0.13034849552094502                               0.13034849552094502                               1.0000000000000024
1.075                                             0.14017372024368724                               0.14017372024368724                               1.0000000000000007
1.075                                             0.140173720729183                                 0.140173720729183                                 1.0000000000000024
1.075                                             0.15340556942235017                               0.15340556942235017                               1.0000000000000002
1.075                                             0.15341080622806044                               0.15341080622806044                               1.0000000000000004
1.075                                             0.15704518788091346                               0.15704518788091346                               0.9999999999999997
