x_0(nm)	Estado_1(eV)	Estado_2(eV)	Estado_3(eV)	Estado_4(eV)	Estado_5(eV)	Estado_6(eV)	Estado_7(eV)	Estado_8(eV)	Estado_9(eV)	Estado_10(eV)	Estado_11(eV)	Estado_12(eV)	Estado_13(eV)	Estado_14(eV)	Estado_15(eV)	Estado_16(eV)	Estado_17(eV)	Estado_18(eV)	Estado_19(eV)	Estado_20(eV)
30	32.91123086	33.84853599	33.84854002	36.65475307	36.65476252	41.31659407	41.31659698	43.43668331	47.8124197	47.81242858	55.00842918	55.07645072	56.11270609	56.11270675	66.18090982	66.18091274	77.97461359	77.97461533	83.55769834	85.56841532
30.2	31.92735103	32.85763334	32.85763505	35.64288107	35.64288961	40.2693588	40.26936079	43.43649117	46.71472501	46.71473577	54.94855349	54.94855599	55.00831007	55.07633153	64.93323287	64.93323631	76.62518857	76.62519065	83.5574583	85.56813436
30.4	30.98624964	31.90961566	31.9096188	34.67415454	34.67416205	39.2656803	39.26568141	43.43633248	45.66114364	45.66115265	53.82919738	53.8291979	55.00820091	55.07622228	63.73114808	63.73115141	75.32225794	75.3222618	83.55720739	85.56783728
30.6	30.08560275	31.0021543	31.00215656	33.74623821	33.7462451	38.30322053	38.30322148	43.43619847	44.64933404	44.64934221	52.75229706	52.75229797	55.00809983	55.07612107	62.57232644	62.57232899	74.0635162	74.06351683	83.55694176	85.56751884
30.8	29.223149	30.13298005	30.1329814	32.85685599	32.85686332	37.37969172	37.37969393	43.43608302	43.67699186	43.67700034	51.71552665	51.71552773	55.00800525	55.07602632	61.45440977	61.45441312	72.84656392	72.84656536	83.55665669	85.5671724
31	28.39669931	29.29989774	29.29990026	32.00380896	32.00381444	36.49288595	36.492887	42.74189647	42.74190368	43.43598236	50.71665058	50.71665158	55.00791588	55.07593676	60.3751495	60.37515188	71.66913921	71.66914019	83.55634629	84.54590316
31.2	27.60440325	28.50105661	28.50105795	31.18524006	31.18524628	35.64094568	35.64094645	41.8421907	41.84219769	43.43589284	49.7538144	49.75381674	55.00783068	55.07585135	59.33269918	59.33270112	70.52941452	70.52941554	83.29013643	83.29013909
31.4	26.84439343	27.73458371	27.7345855	30.39927406	30.39927879	34.82198309	34.82198385	40.97597224	40.97597888	43.43581243	48.82509792	48.82509994	55.00774875	55.07576919	58.32511391	58.32511552	69.4254167	69.42541848	82.07108893	82.07109306
31.6	26.11498458	26.99879222	26.99879448	29.64421701	29.64422263	34.03429969	34.03430236	40.14153493	40.14154204	43.43573938	47.92878501	47.92878687	55.00766931	55.07568949	57.3506679	57.35067007	68.35541201	68.35541297	80.88702076	80.88702449
31.8	25.41449526	26.29199827	26.29199988	28.91837941	28.91838474	33.27619594	33.27619723	39.33716299	39.33716887	43.43567231	47.06314054	47.06314099	55.00759165	55.07561155	56.40760369	56.40760566	67.3176145	67.3176164	79.73611688	79.73612
32	24.7415189	25.61279355	25.61279555	28.22035353	28.22035812	32.54626335	32.54626393	38.56145131	38.56145741	43.43561016	46.2267669	46.2267673	55.00751513	55.07553474	55.49453982	55.49454082	66.31067212	66.31067282	78.61707026	78.61707288
32.2	24.09464378	24.95976562	24.95976644	27.54872024	27.54872468	31.84307482	31.84307651	37.8129628	37.81296917	43.43555207	45.41821199	45.41821275	54.61000425	54.61000539	55.00743916	55.07545844	65.33308843	65.33309111	77.52835881	77.52836133
