% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 17 2026, 02:13
% Table:              Tabla 7 - Valor propio 3
% B (T)                                           n                                                 lambda                                            Energía propia (meV)                              Probabilidad total (1)
5.800000000000001                                 1                                                 0.054589845801984234-3.553757280517264E-15i       54.589845801984225-3.5537572805172636E-12i        1.0000000000000018
5.800000000000001                                 1                                                 0.055734188216601185+7.997107970462677E-13i       55.73418821660118+7.997107970462676E-10i          0.9999999999999991
5.800000000000001                                 1                                                 0.0639832331793092-4.623244970204572E-9i          63.9832331793092-4.6232449702045715E-6i           0.9999999999999999
5.800000000000001                                 1.5                                               0.012351082609862632                              12.35108260986263                                 0.9999999999999991
5.800000000000001                                 1.5                                               0.014062744772323221                              14.062744772323219                                1.000000000000001
5.800000000000001                                 1.5                                               0.014753381905699345                              14.753381905699342                                1.000000000000002
5.800000000000001                                 1.5                                               0.015995773506680036                              15.995773506680035                                0.9999999999999991
5.800000000000001                                 1.5                                               0.017119450723600577                              17.119450723600576                                1.0000000000000004
5.800000000000001                                 1.5                                               0.019299893694946585                              19.299893694946583                                0.9999999999999977
5.800000000000001                                 1.5                                               0.020871051138054944                              20.87105113805494                                 0.9999999999999991
5.800000000000001                                 1.5                                               0.02128402371068633                               21.284023710686323                                1.0000000000000013
5.800000000000001                                 1.5                                               0.023979903137103756                              23.97990313710375                                 0.9999999999999997
5.800000000000001                                 1.5                                               0.027076960929024035                              27.076960929024033                                1
5.800000000000001                                 1.5                                               0.02992335586146093                               29.923355861460927                                0.9999999999999992
5.800000000000001                                 1.5                                               0.03448588493594307                               34.48588493594306                                 1.0000000000000007
