% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 21:01
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
2.2                                               0.08577525266962117                               0.08577525266962117                               0.9999999999999989
2.2                                               0.08909450839315466                               0.08909450839315466                               1
2.2                                               0.0890952821947811                                0.0890952821947811                                1.0000000000000038
2.2199999999999998                                0.08431426748684019                               0.0843142674868402                                1
2.2199999999999998                                0.08563365297168951                               0.08563365297168951                               0.9999999999999993
2.2199999999999998                                0.0856336532721343                                0.0856336532721343                                1.0000000000000002
2.2199999999999998                                0.08596762826724962                               0.08596762826724963                               0.9999999999999989
2.2199999999999998                                0.08909455475224003                               0.08909455475224003                               0.9999999999999996
2.24                                              0.08434010611767838                               0.08434010611767839                               1.0000000000000024
2.24                                              0.0856348138517321                                0.08563481385173212                               1.0000000000000027
2.24                                              0.08616361854408912                               0.08616361854408913                               0.9999999999999988
2.24                                              0.08909545606416303                               0.08909545606416304                               1
2.24                                              0.0929829438436348                                0.09298294384363481                               0.9999999999999977
2.26                                              0.08436056574298187                               0.08436056574298188                               0.9999999999999991
2.26                                              0.08563589277992144                               0.08563589277992144                               1.0000000000000009
2.26                                              0.08563589334558401                               0.08563589334558401                               1.0000000000000018
2.26                                              0.08636125706333037                               0.08636125706333037                               0.9999999999999986
2.26                                              0.08909463789132602                               0.08909463789132602                               1
2.2800000000000002                                0.08437706547562106                               0.08437706547562106                               1.000000000000001
2.2800000000000002                                0.08563689821640433                               0.08563689821640434                               0.9999999999999991
2.2800000000000002                                0.08563689892230161                               0.08563689892230161                               0.9999999999999997
2.2800000000000002                                0.08655919492505758                               0.08655919492505758                               0.9999999999999998
2.2800000000000002                                0.08909467760684883                               0.08909467760684883                               1.0000000000000004
2.3                                               0.08439059661740375                               0.08439059661740375                               0.9999999999999992
2.3                                               0.0856378371983382                                0.08563783719833822                               1.0000000000000018
2.3                                               0.08675651204592957                               0.08675651204592959                               0.9999999999999999
2.3                                               0.08909474477556587                               0.08909474477556588                               0.9999999999999978
2.3                                               0.09359184985214375                               0.09359184985214375                               1.0000000000000004
2.3200000000000003                                0.08440186107577488                               0.0844018610757749                                0.9999999999999999
2.3200000000000003                                0.08563871633725266                               0.08563871633725267                               1.0000000000000007
2.3200000000000003                                0.08695257375525714                               0.08695257375525715                               0.9999999999999988
2.3200000000000003                                0.08909475355308077                               0.08909475355308079                               1.0000000000000009
2.3200000000000003                                0.09378801286179718                               0.0937880128617972                                0.9999999999999992
2.34                                              0.0844113633927099                                0.0844113633927099                                1.0000000000000016
2.34                                              0.08563954055829216                               0.08563954055829218                               0.9999999999999998
2.34                                              0.08563954118810897                               0.08563954118810897                               0.9999999999999999
2.34                                              0.08714691792903877                               0.08714691792903877                               0.9999999999999997
2.34                                              0.089094789889556                                 0.08909478988955602                               0.999999999999999
2.3600000000000003                                0.08441947676398738                               0.08441947676398738                               0.9999999999999997
2.3600000000000003                                0.0856403154191741                                0.0856403154191741                                1
2.3600000000000003                                0.08733929536974372                               0.08733929536974372                               1.0000000000000007
2.3600000000000003                                0.08909604983339565                               0.08909604983339565                               0.9999999999999993
2.3600000000000003                                0.09417038727951672                               0.09417038727951672                               1.000000000000002
2.38                                              0.08442647603465978                               0.08442647603465978                               1.0000000000000009
2.38                                              0.08564104468368341                               0.08564104468368343                               0.9999999999999993
2.38                                              0.08564104523672567                               0.08564104523672567                               0.9999999999999981
2.38                                              0.0875294665581669                                0.08752946655816692                               0.999999999999998
2.38                                              0.08909485939985312                               0.08909485939985312                               1.0000000000000004
2.4000000000000004                                0.08443257067215619                               0.08443257067215619                               0.9999999999999998
2.4000000000000004                                0.08564173263556037                               0.08564173263556037                               1.0000000000000007
2.4000000000000004                                0.08564173320034364                               0.08564173320034366                               1.0000000000000002
2.4000000000000004                                0.0877172874427755                                0.0877172874427755                                0.9999999999999978
2.4000000000000004                                0.08909489270169615                               0.08909489270169617                               0.9999999999999996
2.42                                              0.08443792181133473                               0.08443792181133473                               0.9999999999999999
2.42                                              0.08564238204335678                               0.0856423820433568                                1.0000000000000016
2.42                                              0.08564238251820414                               0.08564238251820415                               1
2.42                                              0.08790266022982199                               0.087902660229822                                 0.999999999999998
2.42                                              0.08909492507415959                               0.08909492507415959                               1.0000000000000002
2.44                                              0.08444265512026655                               0.08444265512026655                               0.9999999999999999
2.44                                              0.08564299665646416                               0.08564299665646417                               0.999999999999999
2.44                                              0.08564299812736345                               0.08564299812736346                               1.0000000000000002
2.44                                              0.08808551940380005                               0.08808551940380005                               0.9999999999999977
2.44                                              0.08909495653898956                               0.08909495653898956                               0.9999999999999997
2.46                                              0.084446869991122                                 0.084446869991122                                 0.9999999999999991
2.46                                              0.08564357922007573                               0.08564357922007573                               1.0000000000000007
2.46                                              0.0856435793799309                                0.08564357937993092                               0.9999999999999997
2.46                                              0.08826582761491791                               0.08826582761491793                               0.9999999999999998
2.46                                              0.08909498714031747                               0.08909498714031747                               0.9999999999999983
2.48                                              0.08445064582768542                               0.08445064582768544                               1.0000000000000029
2.48                                              0.08564413144515548                               0.0856441314451555                                0.9999999999999997
2.48                                              0.08564413315169585                               0.08564413315169585                               1.000000000000001
2.48                                              0.08844356310694357                               0.08844356310694358                               0.9999999999999998
2.48                                              0.08909501690678187                               0.08909501690678187                               0.9999999999999997
2.5                                               0.08445404684921942                               0.08445404684921942                               1.0000000000000013
2.5                                               0.08564465653300013                               0.08564465653300013                               0.9999999999999993
2.5                                               0.08564465664362532                               0.08564465664362533                               1.0000000000000004
2.5                                               0.08861871964580367                               0.08861871964580367                               0.9999999999999991
